,Reference Genom,Node Name,prediction method,mse,rmse
5,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6759362699578362,0.8221534345594113
0,archea1.4g_8nodes,225,Generell Spline approximation smoothing s1 with degree  1 ,0.6755889687180381,0.821942193051335
1,archea1.4g_8nodes,225,Generell Spline approximation smoothing s1 with degree  2 ,0.6755178568361513,0.8218989334681919
2,archea1.4g_8nodes,225,Generell Spline approximation smoothing s1 with degree  3 ,0.6755403359695867,0.8219126084746399
3,archea1.4g_8nodes,225,Generell Spline approximation smoothing s2 with degree  1 ,6712.305703582373,81.92866228361338
4,archea1.4g_8nodes,225,Generell Spline approximation smoothing s2 with degree  2 ,6635.689082419195,81.45973902744346
5,archea1.4g_8nodes,225,Generell Spline approximation smoothing s2 with degree  3 ,5397.990990037922,73.47102143047911
0,archea1.4g_8nodes,244,Polynominal  1,245.35452514916915,15.66379663903899
1,archea1.4g_8nodes,244,Polynominal  2,187.11667131478376,13.679059591754974
2,archea1.4g_8nodes,244,Polynominal  3,186.68970009144581,13.663443932312447
3,archea1.4g_8nodes,244,Polynominal_curve  1,245.35452514916915,15.66379663903899
4,archea1.4g_8nodes,244,Polynominal_curve  2,187.1166713147837,13.679059591754973
5,archea1.4g_8nodes,244,Polynominal_curve  3,186.68970009144581,13.663443932312447
0,archea1.4g_8nodes,244,Log_Polynominal  1,1.3808958964054354,1.764902578770371
1,archea1.4g_8nodes,244,Log_Polynominal  2,1.2794966777921097,1.642885599306004
2,archea1.4g_8nodes,244,Log_Polynominal  3,1.2375729403916356,1.5867438809963883
3,archea1.4g_8nodes,244,Log_curve  1,inf,4.065435757669622e+17
4,archea1.4g_8nodes,244,Log_curve  2,inf,547958106915831.06
5,archea1.4g_8nodes,244,Log_curve  3,inf,393384416005475.94
0,archea1.4g_8nodes,244,Smoothing Spline,2.9772042655052977,1.7254576973966351
0,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 1 with degree  1 ,245.35452514916915,15.66379663903899
1,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 1 with degree  2 ,187.11667131478373,13.679059591754973
2,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 1 with degree  3 ,186.6897000914458,13.663443932312445
3,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6835657923128372,0.8267803773148207
4,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6838703027866375,0.8269645112014405
5,archea1.4g_8nodes,244,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6837609297978868,0.8268983793658606
0,archea1.4g_8nodes,244,Generell Spline approximation smoothing s1 with degree  1 ,0.6835657923128372,0.8267803773148207
1,archea1.4g_8nodes,244,Generell Spline approximation smoothing s1 with degree  2 ,0.6836069027390812,0.8268052386983776
2,archea1.4g_8nodes,244,Generell Spline approximation smoothing s1 with degree  3 ,0.6838360459693832,0.8269437985554903
3,archea1.4g_8nodes,244,Generell Spline approximation smoothing s2 with degree  1 ,245.35452514916915,15.66379663903899
4,archea1.4g_8nodes,244,Generell Spline approximation smoothing s2 with degree  2 ,187.11667131478373,13.679059591754973
5,archea1.4g_8nodes,244,Generell Spline approximation smoothing s2 with degree  3 ,186.6897000914458,13.663443932312445
0,archea1.4g_8nodes,247,Polynominal  1,276.28705332511396,16.62188477054013
1,archea1.4g_8nodes,247,Polynominal  2,265.7031228654117,16.300402536913364
2,archea1.4g_8nodes,247,Polynominal  3,201.48308607131773,14.194473786347901
3,archea1.4g_8nodes,247,Polynominal_curve  1,276.28705332511396,16.62188477054013
4,archea1.4g_8nodes,247,Polynominal_curve  2,265.7031228654117,16.300402536913364
5,archea1.4g_8nodes,247,Polynominal_curve  3,201.48308607131773,14.194473786347901
0,archea1.4g_8nodes,247,Log_Polynominal  1,1.3412715804499362,1.7192108776212272
1,archea1.4g_8nodes,247,Log_Polynominal  2,1.2119130914274026,1.550234806811542
2,archea1.4g_8nodes,247,Log_Polynominal  3,1.1551502411786103,1.461958237465304
3,archea1.4g_8nodes,247,Log_curve  1,inf,1.1103802771346829e+40
4,archea1.4g_8nodes,247,Log_curve  2,inf,4.641884308746249e+35
5,archea1.4g_8nodes,247,Log_curve  3,inf,4.9475707523916494e+35
0,archea1.4g_8nodes,247,Smoothing Spline,6.919033042832616,2.630405490192076
0,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 1 with degree  1 ,276.28705332511385,16.621884770540127
1,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 1 with degree  2 ,265.70312286541173,16.300402536913367
2,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 1 with degree  3 ,201.4830860713177,14.194473786347901
3,archea1.4g_8nodes,247,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6666652485382948,0.816495712504539
