Node Name	Data Size	Total-time	CPU-time	max-rss	I/O In (read MB)	I/O out (write MB)	mem_mb	disk_mb
242	36.0	54.2206	45.31	818.31	0.0	79.29	1000.0	1000.0
228	39.0	15.0044	13.17	964.65	0.0	162.45	1000.0	1000.0
246	43.0	33.5387	14.49	887.07	0.0	94.62	1000.0	1000.0
221	41.0	16.9967	14.0	882.94	0.0	89.72	1000.0	1000.0
226	44.0	34.8302	14.16	909.35	0.0	97.11	1000.0	1000.0
226	40.0	32.462	13.87	825.71	0.0	87.82	1000.0	1000.0
219	41.0	17.1131	13.99	891.31	0.0	90.34	1000.0	1000.0
244	41.0	46.9625	14.7	854.28	0.0	90.98	1000.0	1000.0
222	24.0	12.336	10.5	575.38	0.0	97.01	1000.0	1000.0
225	7.4	3.5495	1.79	155.8	0.0	16.25	1000.0	1000.0
216	46.0	35.091	12.86	953.19	0.0	102.0	1000.0	1000.0
217	44.0	41.4453	13.95	905.49	0.0	96.69	1000.0	1000.0
223	46.0	43.2239	13.78	934.89	0.0	99.98	1000.0	1000.0
241	46.0	29.6907	13.84	945.07	0.0	101.1	1000.0	1000.0
226	50.0	39.7954	14.47	1019.4	0.0	109.34	1000.0	1000.0
216	48.0	40.7857	14.09	987.25	0.0	105.78	1000.0	1000.0
220	53.0	21.0358	13.73	1090.5	0.0	117.07	1000.0	1000.0
242	47.0	44.0323	13.77	966.11	0.0	103.44	1000.0	1000.0
226	51.0	42.8191	13.77	1052.49	0.07	113.03	1000.0	1000.0
219	13.0	9.561	8.04	301.94	0.0	50.59	1000.0	1000.0
240	13.0	11.2325	8.64	305.3	0.0	65.75	1000.0	1000.0
224	12.0	6.0429	4.27	252.48	0.0	24.44	1000.0	1000.0
239	11.0	5.8778	4.2	271.87	0.0	23.88	1000.0	1000.0
240	9.5	4.8112	3.25	239.32	0.0	20.95	1000.0	1000.0
240	12.0	5.6469	3.77	250.19	0.0	47.48	1000.0	1000.0
226	12.0	9.7762	7.91	260.61	0.0	25.19	1000.0	1000.0
247	13.0	14.6321	11.69	324.66	0.0	28.87	1000.0	1000.0
225	9.8	7.9104	6.49	213.39	0.0	52.75	1000.0	1000.0
247	12.0	9.2478	7.51	289.07	0.0	25.58	1000.0	1000.0
226	11.0	5.3249	3.77	271.89	0.0	23.97	1000.0	1000.0
242	9.6	4.8211	3.16	241.71	0.0	21.12	1000.0	1000.0
241	13.0	5.9455	4.32	291.68	0.0	28.15	1000.0	1000.0
213	13.0	10.3437	8.53	275.18	0.0	26.88	1000.0	1000.0
216	12.0	9.5209	7.96	282.51	0.0	24.98	1000.0	1000.0
226	11.0	7.646	5.88	232.09	0.0	42.88	1000.0	1000.0
221	13.0	15.7041	12.43	320.25	0.0	53.75	1000.0	1000.0
246	13.0	5.8885	4.26	316.46	0.0	28.12	1000.0	1000.0
244	14.0	6.3234	4.83	339.41	0.0	30.07	1000.0	1000.0
242	13.0	10.558	9.06	321.4	0.0	28.56	1000.0	1000.0
225	12.0	5.2133	3.29	251.26	0.0	25.69	1000.0	1000.0
217	12.0	15.2328	12.11	280.67	0.0	55.35	1000.0	1000.0
216	13.0	6.5812	4.72	275.48	0.0	26.79	1000.0	1000.0
217	16.0	12.2149	10.38	376.71	0.0	33.71	1000.0	1000.0
225	12.0	8.5376	6.96	291.3	0.0	25.77	1000.0	1000.0
219	15.0	6.5592	4.88	350.63	0.0	31.21	1000.0	1000.0
226	12.0	6.4642	4.82	298.33	0.0	26.41	1000.0	1000.0
240	12.0	8.6998	6.86	254.98	0.0	24.78	1000.0	1000.0
228	13.0	5.5608	3.79	305.52	0.0	27.02	1000.0	1000.0
219	11.0	5.2743	3.79	276.72	0.0	24.35	1000.0	1000.0
226	13.0	6.6753	4.82	276.65	0.0	51.57	1000.0	1000.0
242	11.0	5.0333	3.21	238.42	0.0	23.63	1000.0	1000.0
217	16.0	11.8786	10.06	359.29	0.0	35.01	1000.0	1000.0
226	13.0	6.6525	4.84	277.36	0.0	27.3	1000.0	1000.0
242	13.0	20.2553	14.54	267.0	0.0	27.14	1000.0	1000.0
246	11.0	5.3626	3.81	276.55	0.0	24.31	1000.0	1000.0
213	12.0	5.6103	3.75	254.63	0.0	25.48	1000.0	1000.0
222	8.3	6.8829	5.41	210.23	0.0	18.24	1000.0	1000.0
247	20.0	10.457	8.81	497.27	0.0	83.36	1000.0	1000.0
246	19.0	8.3161	6.44	459.21	0.0	76.77	1000.0	1000.0
225	20.0	20.7086	14.17	404.27	0.0	42.61	1000.0	1000.0
248	18.0	7.8607	6.2	432.51	0.0	38.09	1000.0	1000.0
239	20.0	8.981	7.04	479.42	0.0	42.45	1000.0	1000.0
241	19.0	25.7616	14.4	391.85	0.0	41.21	1000.0	1000.0
213	19.0	15.4904	13.18	463.82	4.11	100.47	1000.0	1000.0
244	18.0	14.15	11.89	431.88	3.77	38.16	1000.0	1000.0
224	21.0	24.065	15.06	438.78	0.0	46.37	1000.0	1000.0
242	18.0	8.3483	6.37	450.03	0.0	39.71	1000.0	1000.0
223	23.0	18.4143	12.49	470.34	0.0	49.95	1000.0	1000.0
217	21.0	15.7282	14.07	457.39	0.0	84.36	1000.0	1000.0
226	20.0	16.244	14.05	493.89	0.07	43.94	1000.0	1000.0
221	21.0	17.3468	12.81	436.0	4.24	45.8	1000.0	1000.0
240	23.0	9.4173	7.75	558.24	0.0	49.78	1000.0	1000.0
228	22.0	17.1105	13.48	453.29	0.0	47.35	1000.0	1000.0
225	20.0	16.6443	14.05	439.57	0.0	44.32	1000.0	1000.0
225	20.0	25.6231	14.79	412.54	0.0	43.51	1000.0	1000.0
241	20.0	16.3032	14.06	444.62	0.0	43.66	1000.0	1000.0
240	22.0	16.1277	12.47	523.75	0.0	46.7	1000.0	1000.0
228	20.0	26.9569	14.6	414.75	0.0	43.75	1000.0	1000.0
222	19.0	8.2196	6.32	462.71	0.0	40.86	1000.0	1000.0
224	4.8	3.4547	1.42	105.32	0.0	10.55	1000.0	1000.0
216	28.0	15.0877	13.01	682.66	0.0	115.71	1000.0	1000.0
240	27.0	30.1966	14.77	549.89	0.0	58.8	1000.0	1000.0
246	25.0	25.5995	14.29	501.49	0.0	53.42	1000.0	1000.0
